2022-03-03 15:03:46,167 - movie_logger - INFO - 가상 브라우저 실행...
2022-03-03 15:03:46,463 - movie_logger - INFO - 네이버 영화 랭킹 1페이지 이동...
2022-03-03 15:04:49,544 - movie_logger - INFO - 가상 브라우저 실행...
2022-03-03 15:04:49,870 - movie_logger - INFO - 네이버 영화 랭킹 1페이지 이동...
2022-03-03 15:07:48,498 - movie_logger - INFO - 가상 브라우저 실행...
2022-03-03 15:07:48,850 - movie_logger - INFO - 네이버 영화 랭킹 1페이지 이동...
2022-03-03 15:08:53,907 - movie_logger - INFO - 가상 브라우저 실행...
2022-03-03 15:08:54,252 - movie_logger - INFO - 네이버 영화 랭킹 1페이지 이동...
2022-03-03 15:09:32,297 - movie_logger - INFO - 가상 브라우저 실행...
2022-03-03 15:09:32,658 - movie_logger - INFO - 네이버 영화 랭킹 1페이지 이동...
2022-03-03 15:11:12,936 - movie_logger - INFO - 가상 브라우저 실행...
2022-03-03 15:11:13,281 - movie_logger - INFO - 네이버 영화 랭킹 1페이지 이동...
2022-03-03 15:11:13,299 - movie_logger - INFO - 1-클라우스영화 제목 클릭... :
2022-03-03 15:11:14,135 - movie_logger - INFO - 영화 평점 클릭...
2022-03-03 15:11:14,153 - movie_logger - INFO - 영화 제목 수집 : 클라우스
2022-03-03 15:11:14,169 - movie_logger - INFO - iframe으로 전환...
2022-03-03 15:11:23,246 - movie_logger - INFO - 다음 페이지 클릭...
2022-03-03 15:11:23,287 - movie_logger - INFO - 201,클라우스
2022-03-03 15:11:23,322 - movie_logger - INFO - 202,클라우스
2022-03-03 15:11:23,357 - movie_logger - INFO - 203,클라우스
2022-03-03 15:11:23,392 - movie_logger - INFO - 204,클라우스
2022-03-03 15:11:23,425 - movie_logger - INFO - 205,클라우스
2022-03-03 15:11:23,460 - movie_logger - INFO - 206,클라우스
2022-03-03 15:11:23,497 - movie_logger - INFO - 207,클라우스
2022-03-03 15:11:23,534 - movie_logger - INFO - 208,클라우스
2022-03-03 15:11:23,569 - movie_logger - INFO - 209,클라우스
2022-03-03 15:11:23,605 - movie_logger - INFO - 210,클라우스
2022-03-03 15:11:23,738 - movie_logger - INFO - 다음 페이지 클릭...
2022-03-03 15:11:23,781 - movie_logger - INFO - 211,클라우스
2022-03-03 15:11:23,816 - movie_logger - INFO - 212,클라우스
2022-03-03 15:11:23,853 - movie_logger - INFO - 213,클라우스
2022-03-03 15:11:23,887 - movie_logger - INFO - 214,클라우스
2022-03-03 15:11:23,922 - movie_logger - INFO - 215,클라우스
2022-03-03 15:11:23,957 - movie_logger - INFO - 216,클라우스
2022-03-03 15:11:23,994 - movie_logger - INFO - 217,클라우스
